389,"42,231",3,8,
390,"42,231",3,4,
391,"42,234",6,5,
392,"42,234",1,9,
393,"42,234",2,7,
394,"42,234",5,3,
395,"42,234",2,6,
396,"42,234",8,6,
397,"42,235",3,6,
398,"42,235",5,6,
399,"42,235",1,11,
400,"42,236",2,7,
401,"42,236",4,5,
402,"42,236",8,7,
403,"42,238",4,2,
404,"42,238",3,6,
405,"42,238",1,6,
406,"42,245",6,,3
407,"42,245",4,7,
408,"42,245",,5,4
409,"42,248",7,5,
410,"42,248",7,6,
411,"42,248",5,4,
412,"42,252",,5,2
413,"42,252",3,2,
414,"42,252",6,,3
415,"42,257",,11,0
416,"42,257",6,3,
417,"42,257",6,,5
418,"42,258",,6,5
419,"42,258",,9,2
420,"42,258",,7,3
421,"42,259",,11,3
422,"42,259",2,11,
423,"42,259",7,,9
424,"42,262",1,5,
425,"42,262",5,4,
426,"42,262",6,3,
427,"42,264",,8,3
428,"42,264",4,5,
429,"42,264",4,,7
430,"42,266",6,,7
431,"42,266",,5,3
432,"42,266",2,11,
433,"42,269",7,,5
434,"42,269",5,7,
435,"42,269",,10,5
436,"42,272",,12,0
437,"42,272",,8,1
438,"42,272",,5,3
439,"42,276",5,4,
440,"42,276",1,10,
441,"42,276",2,4,
442,"42,287",7,,6
443,"42,287",4,6,
444,"42,287",,8,3
445,"42,298",3,4,
446,"42,298",4,5,
447,"42,298",5,6,
448,"42,299",9,,4
449,"42,299",5,,6
450,"42,299",4,,5
451,"42,306",3,6,
452,"42,306",3,9,
453,"42,306",3,8,
454,"42,313",8,,6
455,"42,313",9,4,
456,"42,313",,6,4
457,"42,325",7,4,
458,"42,325",5,6,
459,"42,325",4,5,
460,"42,370",3,6,
461,"42,370",7,6,
462,"42,370",6,5,
463,"42,370",1,6,
464,"42,370",4,2,
465,"42,370",4,8,
466,"42,370",4,6,
467,"42,370",3,8,
468,"42,395",8,4,
469,"42,469",,10,1
470,"42,469",5,,4
471,"42,469",1,8,
472,"42,671",5,,11
473,"42,671",,9,4
474,"42,671",1,3,
475,"42,674",5,,6
476,"42,674",,8,2
477,"42,674",8,5,
478,"42,675",,5,6
479,"42,675",9,,5
480,"42,675",4,8,
481,"42,676",6,,7
482,"42,676",,7,11
483,"42,676",5,6,
484,"42,677",4,3,
485,"42,677",3,,5
486,"42,677",,6,3
487,"42,678",5,,6
488,"42,678",,11,3
489,"42,678",1,9,
490,"42,681",7,,4
491,"42,681",1,5,
492,"42,681",,7,6
493,"42,682",2,,8
494,"42,682",,3,5
495,"42,682",3,6,
496,"42,683",3,10,
497,"42,683",,5,2
498,"42,683",5,,4
499,"42,683",6,,4
500,"42,683",2,3,
501,"42,683",,6,4
502,"42,684",5,,4
503,"42,684",4,11,
504,"42,684",,4,2
505,"42,685",3,,4
506,"42,685",,11,6
507,"42,685",4,8,
508,"42,689",5,,4
509,"42,689",8,7,
510,"42,689",,8,4
511,"42,690",,4,8
512,"42,690",8,,9
513,"42,690",3,4,
514,"42,690",6,7,
515,"42,690",,5,6
516,"42,690",4,,2
517,"42,691",,6,5
518,"42,691",3,11,
519,"42,691",5,,2
520,"42,692",5,,4
521,"42,692",2,10,
522,"42,692",,3,8
