Game,Date,Price,Tritz,Elliott,Erick,Joe,Harsh,Mark,Bijan
368,42152,0,,7,,,,,
369,42152,5,6,,,,,,
370,42152,4,11,,,,,,
371,42156,4,,3,,,,,
372,42156,4,10,,,,,,
373,42156,,8,3,,,,,
374,42157,,6,4,,,,,
375,42157,,8,3,,,,,
376,42157,,7,1,,,,,
377,42158,8,,6,,,,,
378,42158,4,5,,,,,,
379,42158,,5,1,,,,,
380,42159,6,,7,,,,,
381,42159,,5,4,,,,,
382,42159,6,13,,,,,,
383,42160,10,5,,,,,,
384,42160,3,8,,,,,,
385,42160,1,9,,,,,,
386,42163,7,5,,,,,,
387,42163,3,10,,,,,,
388,42163,3,6,,,,,,
389,42163,8,5,,,,,,
390,42163,8,7,,,,,,
391,42163,7,8,,,,,,
392,42163,4,7,,,,,,
393,42163,3,4,,,,,,
394,42172,8,5,,,,,,
395,42172,3,4,,,,,,
396,42172,6,1,,,,,,
397,42174,1,10,,,,,,
398,42174,8,7,,,,,,
399,42174,2,9,,,,,,
400,42177,5,6,,,,,,
401,42177,3,7,,,,,,
402,42177,3,6,,,,,,
403,42180,,9,2,,,,,
404,42180,,7,5,,,,,
405,42180,,10,3,,,,,
406,42184,3,,9,,,,,
407,42184,,3,1,,,,,
408,42184,4,5,,,,,,
409,42186,5,,4,,,,,
410,42186,,13,1,,,,,
411,42186,3,4,,,,,,
412,42187,7,,6,,,,,
413,42187,7,5,,,,,,
414,42187,,10,4,,,,,
415,42187,8,5,,,,,,
416,42187,8,2,,,,,,
417,42187,9,6,,,,,,
418,42191,,5,4,,,,,
419,42191,6,7,,,,,,
420,42191,6,,4,,,,,
421,42192,5,,6,,,,,
422,42192,3,,5,,,,,
423,42192,3,,4,,,,,
424,42193,9,,8,,,,,
425,42193,1,9,,,,,,
426,42193,,3,7,,,,,
427,42194,7,5,,,,,,
428,42194,7,,4,,,,,
429,42194,,12,2,,,,,
430,42195,,5,7,,,,,
431,42195,6,,7,,,,,
432,42195,3,4,,,,,,
433,42199,1,7,,,,,,
434,42199,,7,2,,,,,
435,42199,4,,5,,,,,
436,42200,2,,6,,,,,
437,42200,6,13,,,,,,
438,42200,,3,7,,,,,
439,42201,3,4,,,,,,
440,42201,,6,4,,,,,
441,42201,3,,12,,,,,
442,42205,3,,12,,,,,
443,42205,,6,5,,,,,
444,42205,3,9,,,,,,
445,42206,4,,2,,,,,
446,42206,2,5,,,,,,
447,42206,,2,5,,,,,
448,42208,3,5,,,,,,
449,42208,,6,2,,,,,
450,42208,6,,7,,,,,
451,42209,4,6,,,,,,
452,42209,3,8,,,,,,
453,42209,1,6,,,,,,
454,42209,4,,8,,,,,
455,42209,6,,9,,,,,
456,42209,8,,7,,,,,
457,42212,4,,5,,,,,
458,42212,,4,2,,,,,
459,42212,1,4,,,,,,
460,42213,6,,7,,,,,
461,42213,,7,3,,,,,
462,42213,2,7,,,,,,
463,42213,3,7,,,,,,
464,42213,5,6,,,,,,
465,42213,4,5,,,,,,
466,42213,2,5,,,,,,
467,42214,,6,4,,,,,
468,42214,,7,2,,,,,
469,42214,,3,2,,,,,
470,42215,4,3,,,,,,
471,42215,3,5,,,,,,
472,42215,3,10,,,,,,
473,42216,2,7,,,,,,
474,42216,0,8,,,,,,
475,42216,3,8,,,,,,
476,42219,1,5,,,,,,
477,42219,3,4,,,,,,
478,42219,5,4,,,,,,
479,42220,2,0,,,,,,
480,42220,3,11,,,,,,
481,42220,2,8,,,,,,
482,42226,,7,2,,,,,
483,42226,,6,4,,,,,
484,42226,,6,1,,,,,
485,42227,2,6,,,,,,
486,42227,5,4,,,,,,
487,42227,6,5,,,,,,
488,42227,1,7,,,,,,
489,42227,4,6,,,,,,
490,42227,6,3,,,,,,
491,42228,,10,3,,,,,
492,42228,4,6,,,,,,
493,42228,7,,6,,,,,
